State,Country,Date,Measure,value,daily_change
Alberta,Canada,2020-01-22,confirmed,0,0
Anguilla,UK,2020-01-22,confirmed,0,0
Anhui,China,2020-01-22,confirmed,1,1
Aruba,Netherlands,2020-01-22,confirmed,0,0
Australian Capital Territory,Australia,2020-01-22,confirmed,0,0
Beijing,China,2020-01-22,confirmed,14,14
Bermuda,UK,2020-01-22,confirmed,0,0
"Bonaire, Sint Eustatius and Saba",Netherlands,2020-01-22,confirmed,0,0
British Columbia,Canada,2020-01-22,confirmed,0,0
British Virgin Islands,UK,2020-01-22,confirmed,0,0
Cayman Islands,UK,2020-01-22,confirmed,0,0
Channel Islands,UK,2020-01-22,confirmed,0,0
Chongqing,China,2020-01-22,confirmed,6,6
Curacao,Netherlands,2020-01-22,confirmed,0,0
Diamond Princess,Canada,2020-01-22,confirmed,0,0
Falkland Islands (Islas Malvinas),UK,2020-01-22,confirmed,0,0
Faroe Islands,Denmark,2020-01-22,confirmed,0,0
French Guiana,France,2020-01-22,confirmed,0,0
French Polynesia,France,2020-01-22,confirmed,0,0
Fujian,China,2020-01-22,confirmed,1,1
Gansu,China,2020-01-22,confirmed,0,0
Gibraltar,UK,2020-01-22,confirmed,0,0
Grand Princess,Canada,2020-01-22,confirmed,0,0
Greenland,Denmark,2020-01-22,confirmed,0,0
Guadeloupe,France,2020-01-22,confirmed,0,0
Guangdong,China,2020-01-22,confirmed,26,26
Guangxi,China,2020-01-22,confirmed,2,2
Guizhou,China,2020-01-22,confirmed,1,1
Hainan,China,2020-01-22,confirmed,4,4
Hebei,China,2020-01-22,confirmed,1,1
Heilongjiang,China,2020-01-22,confirmed,0,0
Henan,China,2020-01-22,confirmed,5,5
Hong Kong,China,2020-01-22,confirmed,0,0
Hubei,China,2020-01-22,confirmed,444,444
Hunan,China,2020-01-22,confirmed,4,4
Inner Mongolia,China,2020-01-22,confirmed,0,0
Isle of Man,UK,2020-01-22,confirmed,0,0
Jiangsu,China,2020-01-22,confirmed,1,1
Jiangxi,China,2020-01-22,confirmed,2,2
Jilin,China,2020-01-22,confirmed,0,0
Liaoning,China,2020-01-22,confirmed,2,2
Macau,China,2020-01-22,confirmed,1,1
Manitoba,Canada,2020-01-22,confirmed,0,0
Martinique,France,2020-01-22,confirmed,0,0
Mayotte,France,2020-01-22,confirmed,0,0
Montserrat,UK,2020-01-22,confirmed,0,0
New Brunswick,Canada,2020-01-22,confirmed,0,0
New Caledonia,France,2020-01-22,confirmed,0,0
New South Wales,Australia,2020-01-22,confirmed,0,0
Newfoundland and Labrador,Canada,2020-01-22,confirmed,0,0
Ningxia,China,2020-01-22,confirmed,1,1
Northern Territory,Australia,2020-01-22,confirmed,0,0
Northwest Territories,Canada,2020-01-22,confirmed,0,0
Nova Scotia,Canada,2020-01-22,confirmed,0,0
Ontario,Canada,2020-01-22,confirmed,0,0
Prince Edward Island,Canada,2020-01-22,confirmed,0,0
Qinghai,China,2020-01-22,confirmed,0,0
Quebec,Canada,2020-01-22,confirmed,0,0
Queensland,Australia,2020-01-22,confirmed,0,0
Recovered,Canada,2020-01-22,confirmed,0,0
Reunion,France,2020-01-22,confirmed,0,0
Saint Barthelemy,France,2020-01-22,confirmed,0,0
Saint Pierre and Miquelon,France,2020-01-22,confirmed,0,0
Saskatchewan,Canada,2020-01-22,confirmed,0,0
Shaanxi,China,2020-01-22,confirmed,0,0
Shandong,China,2020-01-22,confirmed,2,2
Shanghai,China,2020-01-22,confirmed,9,9
Shanxi,China,2020-01-22,confirmed,1,1
Sichuan,China,2020-01-22,confirmed,5,5
Sint Maarten,Netherlands,2020-01-22,confirmed,0,0
South Australia,Australia,2020-01-22,confirmed,0,0
St Martin,France,2020-01-22,confirmed,0,0
Tasmania,Australia,2020-01-22,confirmed,0,0
Tianjin,China,2020-01-22,confirmed,4,4
Tibet,China,2020-01-22,confirmed,0,0
Turks and Caicos Islands,UK,2020-01-22,confirmed,0,0
Victoria,Australia,2020-01-22,confirmed,0,0
Western Australia,Australia,2020-01-22,confirmed,0,0
Xinjiang,China,2020-01-22,confirmed,0,0
Yukon,Canada,2020-01-22,confirmed,0,0
Yunnan,China,2020-01-22,confirmed,1,1
Zhejiang,China,2020-01-22,confirmed,10,10
,Afghanistan,2020-01-22,confirmed,0,0
,Albania,2020-01-22,confirmed,0,0
,Algeria,2020-01-22,confirmed,0,0
,Andorra,2020-01-22,confirmed,0,0
,Angola,2020-01-22,confirmed,0,0
,Antigua and Barbuda,2020-01-22,confirmed,0,0
,Argentina,2020-01-22,confirmed,0,0
,Armenia,2020-01-22,confirmed,0,0
,Austria,2020-01-22,confirmed,0,0
,Azerbaijan,2020-01-22,confirmed,0,0
,Bahamas,2020-01-22,confirmed,0,0
,Bahrain,2020-01-22,confirmed,0,0
,Bangladesh,2020-01-22,confirmed,0,0
,Barbados,2020-01-22,confirmed,0,0
,Belarus,2020-01-22,confirmed,0,0
,Belgium,2020-01-22,confirmed,0,0
,Belize,2020-01-22,confirmed,0,0
,Benin,2020-01-22,confirmed,0,0
,Bhutan,2020-01-22,confirmed,0,0
,Bolivia,2020-01-22,confirmed,0,0
,Bosnia and Herzegovina,2020-01-22,confirmed,0,0
,Botswana,2020-01-22,confirmed,0,0
,Brazil,2020-01-22,confirmed,0,0
,Brunei,2020-01-22,confirmed,0,0
,Bulgaria,2020-01-22,confirmed,0,0
,Burkina Faso,2020-01-22,confirmed,0,0
,Burma,2020-01-22,confirmed,0,0
,Burundi,2020-01-22,confirmed,0,0
,Cabo Verde,2020-01-22,confirmed,0,0
,Cambodia,2020-01-22,confirmed,0,0
,Cameroon,2020-01-22,confirmed,0,0
,Central African Republic,2020-01-22,confirmed,0,0
,Chad,2020-01-22,confirmed,0,0
,Chile,2020-01-22,confirmed,0,0
,Colombia,2020-01-22,confirmed,0,0
,Congo (Brazzaville),2020-01-22,confirmed,0,0
,Congo (Kinshasa),2020-01-22,confirmed,0,0
,Costa Rica,2020-01-22,confirmed,0,0
,Cote d'Ivoire,2020-01-22,confirmed,0,0
,Croatia,2020-01-22,confirmed,0,0
,Cuba,2020-01-22,confirmed,0,0
,Cyprus,2020-01-22,confirmed,0,0
,Czechia,2020-01-22,confirmed,0,0
,Denmark,2020-01-22,confirmed,0,0
,Diamond Princess,2020-01-22,confirmed,0,0
,Djibouti,2020-01-22,confirmed,0,0
,Dominica,2020-01-22,confirmed,0,0
,Dominican Republic,2020-01-22,confirmed,0,0
,Ecuador,2020-01-22,confirmed,0,0
,Egypt,2020-01-22,confirmed,0,0
,El Salvador,2020-01-22,confirmed,0,0
,Equatorial Guinea,2020-01-22,confirmed,0,0
,Eritrea,2020-01-22,confirmed,0,0
,Estonia,2020-01-22,confirmed,0,0
,Eswatini,2020-01-22,confirmed,0,0
,Ethiopia,2020-01-22,confirmed,0,0
,Fiji,2020-01-22,confirmed,0,0
,Finland,2020-01-22,confirmed,0,0
,France,2020-01-22,confirmed,0,0
,Gabon,2020-01-22,confirmed,0,0
,Gambia,2020-01-22,confirmed,0,0
,Georgia,2020-01-22,confirmed,0,0
,Germany,2020-01-22,confirmed,0,0
,Ghana,2020-01-22,confirmed,0,0
,Greece,2020-01-22,confirmed,0,0
,Grenada,2020-01-22,confirmed,0,0
,Guatemala,2020-01-22,confirmed,0,0
,Guinea,2020-01-22,confirmed,0,0
,Guinea-Bissau,2020-01-22,confirmed,0,0
