Country,Date,Measure,value,daily_change
Afghanistan,2020-01-22T00:00:00Z,confirmed,0,0
Afghanistan,2020-01-22T00:00:00Z,deaths,0,0
Afghanistan,2020-01-22T00:00:00Z,recovered,0,0
Afghanistan,2020-01-23T00:00:00Z,confirmed,0,0
Afghanistan,2020-01-23T00:00:00Z,deaths,0,0
Afghanistan,2020-01-23T00:00:00Z,recovered,0,0
Afghanistan,2020-01-24T00:00:00Z,confirmed,0,0
Afghanistan,2020-01-24T00:00:00Z,deaths,0,0
Afghanistan,2020-01-24T00:00:00Z,recovered,0,0
Afghanistan,2020-01-25T00:00:00Z,confirmed,0,0
Afghanistan,2020-01-25T00:00:00Z,deaths,0,0
Afghanistan,2020-01-25T00:00:00Z,recovered,0,0
Afghanistan,2020-01-26T00:00:00Z,confirmed,0,0
Afghanistan,2020-01-26T00:00:00Z,deaths,0,0
Afghanistan,2020-01-26T00:00:00Z,recovered,0,0
Afghanistan,2020-01-27T00:00:00Z,confirmed,0,0
Afghanistan,2020-01-27T00:00:00Z,deaths,0,0
Afghanistan,2020-01-27T00:00:00Z,recovered,0,0
Afghanistan,2020-01-28T00:00:00Z,confirmed,0,0
Afghanistan,2020-01-28T00:00:00Z,deaths,0,0
Afghanistan,2020-01-28T00:00:00Z,recovered,0,0
Afghanistan,2020-01-29T00:00:00Z,confirmed,0,0
Afghanistan,2020-01-29T00:00:00Z,deaths,0,0
Afghanistan,2020-01-29T00:00:00Z,recovered,0,0
Afghanistan,2020-01-30T00:00:00Z,confirmed,0,0
Afghanistan,2020-01-30T00:00:00Z,deaths,0,0
Afghanistan,2020-01-30T00:00:00Z,recovered,0,0
Afghanistan,2020-01-31T00:00:00Z,confirmed,0,0
Afghanistan,2020-01-31T00:00:00Z,deaths,0,0
Afghanistan,2020-01-31T00:00:00Z,recovered,0,0
Afghanistan,2020-02-01T00:00:00Z,confirmed,0,0
Afghanistan,2020-02-01T00:00:00Z,deaths,0,0
Afghanistan,2020-02-01T00:00:00Z,recovered,0,0
Afghanistan,2020-02-02T00:00:00Z,confirmed,0,0
Afghanistan,2020-02-02T00:00:00Z,deaths,0,0
Afghanistan,2020-02-02T00:00:00Z,recovered,0,0
Afghanistan,2020-02-03T00:00:00Z,confirmed,0,0
Afghanistan,2020-02-03T00:00:00Z,deaths,0,0
Afghanistan,2020-02-03T00:00:00Z,recovered,0,0
Afghanistan,2020-02-04T00:00:00Z,confirmed,0,0
Afghanistan,2020-02-04T00:00:00Z,deaths,0,0
Afghanistan,2020-02-04T00:00:00Z,recovered,0,0
Afghanistan,2020-02-05T00:00:00Z,confirmed,0,0
